model,split,threshold,rows,positive_rate_pct,predicted_positive_rate_pct,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,false_alarms_per_day,tp,fp,tn,fn,fit_seconds
random_forest,test,0.10164658671357803,1291,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,0,0,1291,0,1.0161964000435546
hist_gradient_boosting,test,0.005623458717126889,1291,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,0,0,1291,0,2.661774999985937
xgboost,test,0.02500052936375141,1291,0.0,0.0,1.0,,0.0,0.0,0.0,,,0.0,0,0,1291,0,3.5526453999918886
extra_trees,test,0.0309361136281736,1291,0.0,0.1549,0.9984508133230054,,0.0,0.0,0.0,,,0.44651162790697674,0,2,1289,0,0.47724639996886253
lightgbm,test,0.00023742254195820845,1291,0.0,0.1549,0.9984508133230054,,0.0,0.0,0.0,,,0.44651162790697674,0,2,1289,0,2.1712182000046596
catboost,test,0.016986589255779713,1291,0.0,0.1549,0.9984508133230054,,0.0,0.0,0.0,,,0.44651162790697674,0,2,1289,0,6.019083400024101
logistic_regression,test,0.2374231972237847,1291,0.0,0.3098,0.9969016266460109,,0.0,0.0,0.0,,,0.8930232558139535,0,4,1287,0,0.20656149997375906
mlp_neural_baseline,test,0.002575452259402408,1291,0.0,4.2603,0.9573973663826492,,0.0,0.0,0.0,,,12.27906976744186,0,55,1236,0,0.8968615000485443
dummy_prior,test,0.008801062769843906,1291,0.0,100.0,0.0,,0.0,0.0,0.0,,,288.2232558139535,0,1291,0,0,0.001573899993672967
hist_gradient_boosting,validation,0.005623458717126889,1291,0.9295,0.9295,0.9984508133230054,0.9579424029189471,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9860568152202241,0.9141666666666667,0.22325581395348837,11,1,1278,1,2.661774999985937
lightgbm,validation,0.00023742254195820845,1291,0.9295,0.9295,0.9984508133230054,0.9579424029189471,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9941360437842064,0.9039141414141414,0.22325581395348837,11,1,1278,1,2.1712182000046596
xgboost,validation,0.02500052936375141,1291,0.9295,1.0844,0.9969016266460109,0.9571605420901745,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.965598123534011,0.8867897937991397,0.6697674418604651,11,3,1276,1,3.5526453999918886
logistic_regression,validation,0.2374231972237847,1291,0.9295,1.1619,0.9961270333075135,0.9567696116757883,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.9972634870992964,0.8847020933977456,0.8930232558139535,11,4,1275,1,0.20656149997375906
extra_trees,validation,0.0309361136281736,1291,0.9295,0.9295,0.9984508133230054,0.9579424029189471,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9952111024237686,0.8610017824416559,0.22325581395348837,11,1,1278,1,0.47724639996886253
random_forest,validation,0.10164658671357803,1291,0.9295,0.9295,0.9984508133230054,0.9579424029189471,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9955694553036227,0.8249280616358081,0.22325581395348837,11,1,1278,1,1.0161964000435546
catboost,validation,0.016986589255779713,1291,0.9295,1.1619,0.9883810999225406,0.7464816262705238,0.4,0.5,0.4444444444444444,0.9506776127182694,0.21957742358877272,2.009302325581395,6,9,1270,6,6.019083400024101
mlp_neural_baseline,validation,0.002575452259402408,1291,0.9295,4.4152,0.9558481797056545,0.7300625488663017,0.10526315789473684,0.5,0.17391304347826086,0.916015115976023,0.07090569002425923,11.386046511627907,6,51,1228,6,0.8968615000485443
dummy_prior,validation,0.008801062769843906,1291,0.9295,100.0,0.009295120061967466,0.5,0.009295120061967466,1.0,0.01841903300076746,0.5,0.009295120061967466,285.5441860465116,12,1279,0,0,0.001573899993672967
